VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-14,bite,3031,3045,0,506.71,9.33,17.33,2.0,2.24,17.46,40.5,121.31,225.24,-103.93,47,-41,-160,64,0.36,172.18,19.98,104.54
1-14,bite,11593,11635,0,295.75,21.48,24.38,1.0,2.24,71.0,74.97,880.71,999.71,-119.0,287,-10,456,3,0.55,177.86,0.81,87.83
1-14,bite,1421,1450,0,595.68,41.63,48.31,4.24,1.41,89.27,101.83,1165.53,1352.76,-187.23,-1146,9,-1256,-45,0.69,178.19,0.0,45.3
1-14,bite,26035,26062,0,883.54,15.03,31.69,5.0,8.6,28.16,130.86,390.7,823.94,-433.24,308,17,-43,-296,0.44,168.7,31.43,104.24
1-14,bite,1355,1366,0,890.95,69.55,41.44,6.08,11.18,104.17,82.49,695.5,414.37,281.13,-682,1,-102,-16,0.36,176.11,0.0,90.6
1-14,bite,26413,26436,0,1133.15,12.77,30.84,2.0,7.81,33.14,55.17,280.84,678.38,-397.54,56,-27,-584,-77,0.61,159.23,1.4,74.02
1-14,bite,26452,26512,0,699.43,20.67,23.35,5.0,2.83,53.15,64.12,1219.62,1377.69,-158.07,-153,-50,44,200,0.42,180.0,0.0,99.1
1-14,chase,4768,4835,1,555.63,17.86,16.41,5.0,1.0,39.32,58.86,1178.65,1083.2,95.45,87,-34,82,16,0.48,177.57,1.15,87.96
1-14,chase,13539,13554,1,272.33,27.54,34.49,8.06,16.03,43.01,57.38,385.5,482.81,-97.31,196,147,360,148,0.87,131.41,0.0,34.1
1-14,chase,4606,4628,1,359.42,19.33,17.47,4.24,4.24,42.58,36.12,405.83,366.82,39.01,-6,17,114,103,0.64,178.02,0.0,70.62
1-14,chase,5072,5090,1,807.36,24.72,22.87,7.62,2.83,55.0,44.0,420.19,388.72,31.47,-375,-74,-319,-54,0.78,154.99,1.81,65.0
1-14,chase,4836,4908,1,578.6,20.73,18.09,2.24,2.24,58.55,35.23,1471.78,1284.31,187.47,-1194,-16,-1155,-2,0.78,180.0,0.0,53.83
1-14,chase,21669,21693,1,1226.03,41.25,24.79,25.08,7.62,57.22,49.09,948.8,570.24,378.56,-945,-39,-329,-11,0.58,176.66,0.0,52.18
1-14,chase,5207,5230,1,817.63,33.58,23.62,2.0,5.66,95.63,47.01,738.83,519.74,219.09,492,-204,-34,-138,0.74,176.38,1.15,67.47
1-14,chase,5291,5369,1,625.02,24.68,23.78,1.0,3.61,64.66,74.55,1900.36,1831.17,69.19,-501,498,-720,399,0.64,180.0,1.81,69.06
1-14,chase,1367,1380,1,588.26,41.5,30.95,4.12,2.24,64.33,62.03,498.01,371.43,126.58,449,-76,200,-10,0.46,178.19,5.73,98.11
1-14,chase,7775,7795,1,683.96,32.88,26.84,3.16,12.17,59.14,50.04,624.63,509.95,114.68,-622,-5,-507,44,1.0,31.33,1.81,11.85
1-14,chase,9284,9304,1,415.28,43.04,27.69,12.53,9.22,98.62,44.15,817.79,526.2,291.59,-726,89,-486,164,0.85,105.75,0.0,29.2
1-14,chase,537,556,1,832.74,28.98,24.12,2.0,2.83,62.63,45.28,521.68,434.08,87.6,-479,151,40,-32,0.63,178.6,0.0,67.31
1-14,chase,5159,5172,1,703.17,21.68,14.04,10.0,6.71,31.4,22.2,260.18,168.45,91.73,-188,-73,137,-63,0.23,154.18,68.84,114.88
1-14,chase,13954,13976,1,557.43,42.34,45.39,3.0,10.05,159.71,75.03,889.1,953.22,-64.12,-868,-9,-950,30,0.86,158.2,1.81,29.24
1-14,chase,3260,3269,1,136.7,10.84,8.86,0.0,3.61,45.88,26.08,86.72,70.89,15.83,66,-10,58,23,0.33,151.9,11.3,93.39
1-14,chase,3079,3141,1,776.09,16.62,19.21,1.41,3.0,54.57,55.47,1014.07,1171.7,-157.63,-358,61,-17,21,0.42,177.31,6.23,94.26
1-14,chase,4447,4481,1,1140.41,24.9,31.9,1.0,11.4,62.39,98.98,821.74,1052.55,-230.81,611,30,601,-10,0.53,176.11,2.56,88.9
1-14,chase,3690,3748,1,587.61,27.08,28.86,4.24,3.61,81.39,63.95,1543.74,1645.12,-101.38,944,7,943,236,0.69,176.86,0.0,61.61
1-14,chase,2117,2145,1,1185.28,39.74,25.6,8.06,8.94,69.29,64.01,1073.05,691.08,381.97,715,-43,463,196,0.61,175.14,2.29,73.85
1-14,chase,2519,2555,1,403.54,22.06,22.13,4.47,1.41,47.1,94.05,772.23,774.42,-2.19,414,-22,293,1,0.42,180.0,1.62,99.73
1-14,chase,1959,2086,1,1327.15,28.9,32.69,2.0,2.24,73.35,114.84,3641.16,4118.38,-477.22,-879,-79,-1399,-20,0.69,176.2,0.81,68.06
1-14,chase,3957,3998,1,378.88,18.07,18.77,4.24,3.16,46.24,47.1,722.93,750.68,-27.75,-33,-238,147,-138,0.9,160.63,5.32,53.89
1-14,chase,4011,4028,1,512.84,23.67,23.82,5.0,1.41,37.66,40.2,378.69,381.09,-2.4,338,152,233,-3,0.71,180.0,14.72,72.14
1-14,chase,1683,1832,1,1147.38,28.76,33.71,5.39,1.41,97.49,85.07,4256.78,4988.95,-732.17,-784,23,-1191,34,0.74,178.38,0.81,57.71
1-14,chase,15136,15162,1,552.03,27.04,19.31,2.0,5.39,42.06,40.31,675.92,482.69,193.23,-663,27,-391,29,0.92,154.34,3.8,31.93
1-14,chase,2562,2604,1,254.61,28.0,25.85,1.41,5.0,91.05,77.1,1147.85,1059.96,87.89,274,-175,233,-178,0.74,175.79,0.0,46.43
1-14,display,12209,12240,2,1131.6,14.99,14.36,5.1,3.0,33.02,24.6,449.75,430.8,18.95,404,-56,-176,-36,0.26,180.0,22.15,136.11
1-14,display,12367,12390,2,650.35,14.15,32.22,3.61,14.32,32.89,70.03,311.32,708.75,-397.43,-26,-90,-380,-96,0.26,177.19,4.36,119.12
1-14,display,12396,12450,2,1359.31,7.73,15.99,1.0,1.41,27.0,40.05,409.43,847.53,-438.1,256,42,-70,21,0.37,172.39,3.03,105.45
1-14,display,23465,23515,2,619.85,15.31,11.14,3.0,2.24,59.21,44.05,750.04,545.99,204.05,-8,-49,-70,-15,0.26,180.0,7.39,122.39
1-14,display,12555,12617,2,878.81,10.08,17.48,0.0,1.41,32.02,40.0,614.95,1066.55,-451.6,167,23,9,0,0.48,178.19,8.31,85.82
1-14,display,14141,14210,2,917.23,11.01,14.5,1.41,1.0,35.44,43.42,748.56,986.12,-237.56,152,-30,-229,27,0.48,172.89,0.0,85.84
1-14,display,22230,22280,2,931.99,9.93,8.48,2.0,1.0,20.4,36.67,486.66,415.34,71.32,119,100,-210,94,0.44,180.0,4.05,90.92
1-14,display,12860,12887,2,465.07,17.27,20.82,1.0,4.24,30.81,48.37,449.01,541.26,-92.25,-81,-53,-76,6,0.41,178.38,0.0,99.91
1-14,display,20638,20701,2,1276.94,8.21,8.44,1.0,1.0,24.08,20.62,508.99,523.35,-14.36,-94,135,159,-53,0.3,180.0,1.15,115.06
1-14,display,20311,20357,2,964.35,20.29,17.33,2.24,1.0,60.73,55.04,912.98,779.72,133.26,520,-155,-51,59,0.5,179.19,1.81,92.34
1-14,display,18341,18372,2,496.31,7.37,11.36,1.0,2.0,26.93,35.23,220.99,340.92,-119.93,-103,-31,66,68,0.45,174.81,11.9,92.0
1-14,display,13185,13300,2,1459.44,12.33,13.24,0.0,0.0,44.27,50.92,1405.59,1509.75,-104.16,1,-97,502,80,0.52,173.62,0.0,67.56
1-14,display,11730,11767,2,532.72,9.67,13.05,0.0,2.24,36.35,62.03,348.05,469.9,-121.85,23,56,-41,39,0.19,180.0,0.0,111.42
1-14,display,15864,15920,2,732.49,19.2,18.59,6.4,1.0,44.92,64.47,1055.78,1022.2,33.58,515,-81,0,-49,0.57,163.44,0.0,74.98
1-14,display,15205,15225,2,612.47,12.67,20.8,6.08,6.08,23.19,38.63,240.8,395.23,-154.43,-157,20,168,45,0.2,177.86,0.0,127.79
1-14,display,24754,24790,2,594.58,13.03,18.14,3.61,8.0,32.56,29.15,456.1,634.76,-178.66,-117,120,-45,59,0.19,164.47,26.57,122.34
1-14,display,24997,25018,2,870.15,20.24,14.36,6.71,2.0,33.24,24.08,404.9,287.11,117.79,-169,162,79,-4,0.05,177.57,66.06,145.97
1-14,display,19865,19918,2,995.08,10.62,10.31,1.0,0.0,51.97,38.05,552.14,536.36,15.78,-165,156,162,-53,0.38,177.31,14.05,106.11
1-14,display,27096,27150,2,1787.2,8.62,14.35,2.0,3.0,28.02,56.57,456.71,760.53,-303.82,243,3,-211,-10,0.22,180.0,0.0,118.34
1-14,display,4398,4446,2,782.4,9.16,15.31,1.0,2.0,18.03,41.23,430.33,719.78,-289.45,-366,-82,-318,-75,0.67,162.9,0.0,70.26
1-14,display,11520,11562,2,1148.41,15.28,11.62,7.07,0.0,27.02,23.09,626.52,476.52,150.0,-59,-41,335,-30,0.14,180.0,48.18,139.93
1-14,display,3783,3793,2,556.55,10.48,14.71,5.83,4.0,19.03,26.93,94.35,132.38,-38.03,-28,-33,7,-36,0.2,178.85,38.52,121.9
1-14,display,3858,3902,2,801.06,12.91,15.47,0.0,5.0,54.78,25.18,555.24,665.28,-110.04,389,-196,160,-140,0.57,168.9,0.0,76.17
1-14,display,3999,4010,2,235.03,12.72,14.17,1.41,2.0,20.1,38.29,127.23,141.74,-14.51,17,-17,52,41,0.0,178.85,0.0,123.73
1-14,display,4033,4102,2,906.22,22.23,12.92,1.0,2.24,45.18,29.15,1511.96,878.58,633.38,265,1,448,-9,0.81,172.22,2.43,55.74
1-14,display,4254,4286,2,1132.48,16.43,9.34,1.41,2.83,35.47,20.25,509.37,289.45,219.92,-97,117,-276,-5,0.47,170.54,30.75,96.13
1-14,display,4327,4378,2,710.01,9.01,13.4,1.0,2.24,22.02,40.61,450.33,670.13,-219.8,-214,110,55,-6,0.37,172.89,3.03,97.72
1-14,display,3321,3388,2,1147.88,6.07,8.15,1.0,1.0,15.23,25.06,400.7,537.72,-137.02,56,88,288,-95,0.46,180.0,0.0,84.33
1-14,display,2229,2264,2,573.04,13.28,28.36,1.41,5.66,36.69,59.54,451.4,964.08,-512.68,12,52,-101,19,0.37,178.85,15.25,106.88
1-14,display,4510,4540,2,738.71,29.35,17.04,1.41,7.21,55.08,35.36,851.08,494.16,356.92,-701,-141,-329,-126,0.77,148.61,1.62,55.41
1-14,display,4584,4605,2,468.12,17.45,8.96,2.83,3.16,34.21,19.42,349.03,179.2,169.83,-85,110,-174,-21,0.67,155.24,2.92,62.44
1-14,display,4655,4662,2,434.27,14.94,10.09,11.18,5.1,18.87,14.42,89.62,60.56,29.06,-67,20,50,-21,0.0,178.6,141.26,168.21
1-14,display,5025,5041,2,637.26,9.26,19.31,2.83,5.39,28.86,38.64,138.93,289.67,-150.74,-129,5,-46,69,0.38,176.86,6.12,97.36
1-14,display,5148,5158,2,671.59,11.61,13.79,2.83,12.04,22.36,16.0,104.46,124.15,-19.69,39,-92,124,4,0.8,102.53,49.4,68.98
1-14,display,5173,5181,2,544.72,17.0,19.01,7.62,14.32,40.45,25.5,119.03,133.05,-14.02,-23,-89,-114,-66,0.88,82.59,0.0,47.3
1-14,display,5045,5056,2,560.51,12.3,9.69,3.16,5.0,27.73,22.47,122.98,96.89,26.09,63,92,3,59,0.73,162.4,8.15,64.33
1-14,display,6160,6260,2,1411.69,19.13,16.36,1.0,1.41,52.77,71.84,1894.04,1619.62,274.42,386,44,194,245,0.36,180.0,0.0,105.6
1-14,display,9909,9950,2,656.79,9.89,12.11,2.0,2.0,17.72,27.17,395.71,484.49,-88.78,-28,144,-84,-38,0.2,179.19,5.73,126.82
1-14,display,8871,8938,2,756.06,9.14,6.49,0.0,0.0,27.07,31.06,602.98,428.21,174.77,-139,114,79,39,0.6,175.79,0.81,77.29
1-14,display,8682,8870,2,1097.13,10.17,13.92,1.0,0.0,44.0,49.65,1901.63,2602.23,-700.6,121,-129,-68,-60,0.49,180.0,0.0,87.33
1-14,display,8374,8425,2,658.33,17.23,12.43,4.0,1.0,41.44,26.87,861.72,621.41,240.31,220,32,-126,54,0.06,176.86,66.8,138.2
1-14,display,7863,7919,2,923.9,7.33,7.06,1.0,0.0,36.35,32.39,403.32,388.32,15.0,110,-59,-230,48,0.41,180.0,8.15,102.29
1-14,display,5610,5638,2,346.96,10.49,17.78,1.41,2.24,39.0,48.51,283.24,480.07,-196.83,227,6,29,-73,0.32,180.0,36.87,126.65
1-14,display,7600,7641,2,872.75,12.92,8.63,1.0,1.41,32.56,30.41,516.89,345.39,171.5,362,-52,70,-1,0.24,180.0,1.4,109.5
1-14,display,7798,7826,2,757.81,8.98,11.13,3.16,0.0,25.18,23.02,242.4,300.44,-58.04,-145,-65,-243,-34,0.57,161.57,0.0,64.86
1-14,display,6770,6810,2,856.51,10.09,9.27,2.0,1.0,43.05,33.06,393.5,361.5,32.0,-98,-81,-146,29,0.57,179.19,1.81,84.82
1-14,display,6567,6613,2,821.68,13.82,11.82,2.0,1.0,37.74,41.04,621.87,531.97,89.9,36,191,45,20,0.22,174.81,39.81,133.12
1-14,display,6479,6500,2,417.93,7.27,10.03,2.83,5.39,14.0,22.02,145.45,200.59,-55.14,-49,2,78,-38,0.33,172.89,18.01,102.97
1-14,display,6360,6470,2,920.44,12.67,13.12,0.0,1.0,37.44,53.76,1381.37,1430.04,-48.67,105,46,-3,166,0.45,180.0,0.81,96.53
1-14,display,2265,2404,2,1214.67,24.61,15.17,3.16,1.41,76.16,67.27,3396.01,2093.14,1302.87,190,167,-64,-43,0.38,180.0,1.15,105.19
1-14,display,3530,3555,2,1004.51,16.53,10.48,9.22,2.24,28.84,20.22,396.8,251.42,145.38,96,-253,-138,-99,0.36,162.9,21.44,100.02
1-14,normal,25055,25100,3,6123.79,15.14,13.27,1.41,0.0,33.53,30.27,665.96,583.86,82.1,624,-149,-441,168,0.18,173.72,63.12,136.09
1-14,normal,2089,2116,3,699.94,24.69,11.23,6.71,3.16,42.15,32.02,641.87,291.91,349.96,-51,186,150,-46,0.56,175.2,0.0,78.0
1-14,normal,2605,2644,3,591.92,11.85,17.63,2.24,2.83,36.24,55.33,450.42,669.97,-219.55,-4,-156,-209,-119,0.54,180.0,7.56,90.28
1-14,normal,25736,25776,3,2932.55,21.99,15.06,10.0,4.12,45.19,32.14,857.49,587.17,270.32,244,219,525,190,0.55,174.94,7.11,74.48
1-14,normal,2177,2221,3,842.21,25.35,16.02,4.12,3.0,62.13,29.41,1090.05,688.97,401.08,-494,-242,-377,-152,0.55,178.85,14.05,93.79
1-14,normal,10223,10275,3,1074.49,10.34,14.05,3.16,4.47,17.12,35.06,527.58,716.35,-188.77,6,8,127,-329,0.17,180.0,1.15,124.17
1-14,normal,1381,1388,3,994.78,31.89,47.31,17.26,24.02,50.04,65.05,191.34,283.88,-92.54,191,-7,-138,195,0.29,147.53,7.61,96.84
1-14,normal,1178,1354,3,2204.09,41.13,39.83,2.0,0.0,114.53,445.08,7198.46,6970.23,228.23,-403,54,-696,13,0.32,180.0,0.0,106.43
1-14,normal,27616,27670,3,2952.69,21.24,9.29,5.39,1.0,38.83,48.37,1125.61,492.57,633.04,-579,223,348,115,0.33,176.66,9.46,95.33
1-14,normal,27911,27957,3,4821.69,7.21,22.26,2.24,7.21,21.02,41.19,324.3,1001.62,-677.32,131,99,-448,-8,0.43,180.0,1.62,103.11
1-14,normal,24505,24537,3,1019.62,11.79,15.88,1.41,2.24,24.35,45.89,365.62,492.33,-126.71,-18,-65,-319,55,0.19,180.0,11.1,138.59
1-14,normal,1130,1165,3,3250.6,37.99,46.35,6.0,2.0,99.01,204.48,1291.61,1575.87,-284.26,987,72,-10,107,0.43,176.97,0.0,90.87
1-14,normal,584,690,3,630.78,16.33,19.04,0.0,2.83,62.82,106.04,1714.85,1999.32,-284.47,-86,-96,-122,-180,0.64,180.0,0.0,72.5
1-14,normal,1645,1682,3,809.83,22.18,36.86,7.21,3.61,74.33,109.55,798.44,1327.1,-528.66,660,-277,883,-293,0.78,173.17,2.69,57.73
1-14,normal,24401,24504,3,1683.58,19.01,20.08,1.0,3.61,51.79,58.31,1938.61,2048.27,-109.66,51,55,439,74,0.54,180.0,0.81,85.67
1-14,normal,18168,18196,3,1735.67,15.9,17.54,9.22,2.0,27.2,63.32,429.4,473.68,-44.28,423,-39,-243,-13,0.29,178.19,21.8,120.53
1-14,normal,3012,3030,3,696.09,14.48,10.77,4.12,3.16,25.0,21.19,246.13,183.17,62.96,-43,130,128,22,0.72,152.46,0.0,71.38
1-14,normal,10121,10165,3,1282.65,16.82,22.85,5.83,5.39,32.06,43.05,723.13,982.47,-259.34,397,104,154,-5,0.11,179.19,30.07,138.03
1-14,normal,7131,7200,3,1229.73,11.52,10.03,2.0,2.83,23.35,20.25,783.02,682.35,100.67,716,-20,550,9,0.84,177.08,0.0,33.12
1-14,normal,14913,14955,3,2719.85,15.06,24.93,1.41,6.0,27.07,43.74,617.5,1022.22,-404.72,102,39,-474,454,0.62,162.69,1.98,65.42
1-14,normal,15022,15099,3,2077.44,21.7,26.16,1.41,4.47,61.13,76.66,1649.38,1988.12,-338.74,-145,-59,-114,254,0.65,180.0,0.0,67.32
1-14,normal,3626,3649,3,528.21,12.09,10.74,3.16,1.41,25.06,44.28,266.04,236.36,29.68,117,169,-25,-62,0.35,177.31,0.0,92.41
1-14,normal,19795,19852,3,3228.96,21.9,11.48,7.28,0.0,46.0,25.61,1226.3,643.12,583.18,285,-26,-453,251,0.42,172.18,4.29,87.49
1-14,normal,3581,3591,3,135.28,12.28,12.72,2.0,2.24,40.61,39.01,110.52,114.52,-4.0,79,14,53,-8,0.4,176.86,24.48,94.74
1-14,normal,20425,20467,3,2131.56,8.77,18.07,1.0,0.0,16.12,38.33,359.71,740.77,-381.06,309,-15,286,-39,0.57,179.19,0.81,82.11
1-14,normal,20489,20514,3,1410.06,11.15,23.22,1.41,6.32,18.03,46.69,267.52,557.31,-289.79,139,5,-343,209,0.44,178.85,1.15,106.93
1-14,normal,20594,20618,3,1622.27,24.53,13.76,8.54,6.4,41.76,22.02,564.08,316.46,247.62,-532,-98,309,0,0.04,179.19,14.05,146.21
1-14,normal,21708,21758,3,1107.3,19.56,14.26,1.0,3.61,39.01,39.05,958.21,698.57,259.64,-277,-14,-423,133,0.18,177.08,0.0,123.05
1-14,normal,21774,21834,3,1621.44,9.96,31.29,3.0,1.0,21.38,86.98,587.77,1846.38,-1258.61,-498,16,-64,-118,0.43,180.0,1.81,105.74
1-14,normal,21867,21953,3,2455.22,13.35,14.57,1.0,3.0,31.26,32.0,1134.6,1238.19,-103.59,-112,43,468,-2,0.36,180.0,0.81,113.77
1-14,normal,3234,3299,3,839.87,10.06,14.81,0.0,1.0,47.3,63.06,643.83,947.57,-303.74,83,50,245,75,0.46,177.86,0.0,90.22
1-14,normal,3046,3078,3,846.89,18.77,22.73,2.0,3.61,32.25,65.92,581.85,704.7,-122.85,497,96,163,240,0.44,175.27,0.0,86.72
1-14,normal,2969,3000,3,718.16,18.12,27.82,2.0,3.61,50.49,67.36,543.54,834.53,-290.99,-473,-19,-519,158,0.48,180.0,0.81,88.4
1-14,normal,500,519,3,880.26,25.89,21.61,8.54,2.0,38.08,54.45,466.07,388.98,77.09,-379,263,159,-73,0.32,180.0,4.36,109.57
1-22_2nd,bite,680,720,0,377.51,19.78,23.5,3.16,3.0,44.41,71.06,771.39,916.63,-145.24,-224,109,-51,-45,0.35,180.0,1.4,117.79
1-22_2nd,bite,15978,15992,0,786.59,27.37,27.29,6.32,5.39,63.32,73.55,355.78,354.78,1.0,-344,-66,334,6,0.07,180.0,42.48,154.67
1-22_2nd,bite,15230,15246,0,524.35,32.47,25.24,15.03,11.31,50.25,68.0,487.09,378.55,108.54,-462,108,-356,-53,1.0,82.4,2.43,28.83
1-22_2nd,bite,12520,12540,0,313.95,33.76,25.52,14.42,5.0,75.58,62.97,641.41,484.96,156.45,-252,-263,-313,-101,0.4,169.39,5.19,94.83
1-22_2nd,bite,4277,4323,0,819.53,30.97,20.21,8.94,4.47,81.02,41.63,1393.43,909.47,483.96,142,-72,-54,-81,0.72,180.0,0.0,53.04
1-22_2nd,bite,16946,16963,0,585.92,33.27,38.76,8.54,17.03,82.15,85.44,532.27,620.22,-87.95,-251,256,60,388,0.76,171.04,3.34,65.27
1-22_2nd,bite,4101,4154,0,956.03,19.53,26.1,1.0,2.83,65.74,74.81,1015.62,1357.03,-341.41,170,-101,227,-15,0.38,179.19,8.15,106.46
1-22_2nd,bite,3882,3933,0,513.28,21.58,21.88,2.0,5.1,60.46,60.42,1078.92,1094.16,-15.24,-15,186,-151,282,0.37,176.56,0.0,95.82
1-22_2nd,bite,735,840,0,812.85,28.25,21.18,1.41,2.0,84.05,76.01,2937.95,2202.62,735.33,-127,85,-301,197,0.37,180.0,2.29,105.99
1-22_2nd,bite,3093,3152,0,537.37,17.16,15.12,2.0,2.0,51.24,65.39,995.1,877.03,118.07,201,-55,285,84,0.44,175.64,0.0,90.24
1-22_2nd,chase,13685,13742,1,731.28,37.13,40.35,4.12,2.24,99.46,80.23,2079.28,2259.55,-180.27,643,62,369,180,0.72,178.19,0.81,60.17
1-22_2nd,chase,16117,16140,1,647.81,29.97,24.8,13.42,9.22,42.72,45.88,659.39,545.54,113.85,649,-41,538,-40,0.96,162.05,1.15,17.62
1-22_2nd,chase,16372,16388,1,261.24,36.1,31.42,10.0,9.49,82.49,86.01,541.49,471.24,70.25,338,11,395,-83,0.56,156.21,6.97,80.91
1-22_2nd,chase,15150,15165,1,2166.14,50.42,23.64,16.12,14.14,76.49,43.28,705.85,330.9,374.95,-565,88,302,30,0.0,174.81,105.31,138.45
1-22_2nd,display,2790,2817,2,593.33,14.38,26.9,1.0,5.1,24.19,61.68,373.96,699.34,-325.38,-53,-64,-280,20,0.3,175.95,1.15,127.44
1-22_2nd,display,10060,10083,2,721.07,24.14,26.29,3.16,4.12,52.15,50.61,531.15,578.43,-47.28,-132,125,-87,34,0.13,176.86,59.35,142.22
1-22_2nd,display,9188,9255,2,1508.53,20.58,15.84,4.12,2.0,43.01,47.54,1358.29,1045.24,313.05,270,-147,-135,-58,0.25,180.0,8.15,127.71
1-22_2nd,display,1956,2010,2,596.8,22.7,16.2,8.06,3.16,70.94,42.54,1203.36,858.65,344.71,-506,31,-246,-3,0.24,180.0,3.44,123.8
1-22_2nd,display,1700,1758,2,961.11,25.03,9.2,5.0,2.24,66.71,29.15,1426.45,524.54,901.91,-207,-13,-208,124,0.52,178.85,2.81,85.16
1-22_2nd,display,1420,1495,2,674.82,10.76,12.78,1.0,1.0,41.11,34.48,796.0,945.53,-149.53,-79,78,128,-18,0.25,178.6,11.3,117.45
1-22_2nd,display,1215,1280,2,932.26,12.3,21.31,2.24,1.0,30.59,42.01,787.07,1363.61,-576.54,-289,18,-76,-163,0.43,180.0,0.0,98.54
1-22_2nd,display,850,905,2,589.79,14.42,13.38,2.24,1.0,46.17,35.81,778.56,722.34,56.22,-32,46,29,-6,0.35,180.0,0.0,96.91
1-22_2nd,display,1794,1851,2,851.67,9.48,9.21,1.0,1.0,23.77,22.14,531.07,515.76,15.31,62,66,-104,-40,0.35,180.0,0.0,96.48
1-22_2nd,normal,11453,11525,3,1685.92,22.77,18.16,5.0,7.07,42.0,34.18,1616.55,1289.41,327.14,-512,176,46,-26,0.29,178.6,1.62,125.91
1-22_2nd,normal,15253,15294,3,1412.53,18.48,8.98,2.0,2.24,37.66,18.11,739.19,359.27,379.92,533,3,19,17,0.46,180.0,1.62,94.05
1-22_2nd,normal,15523,15589,3,2765.51,19.98,11.07,8.6,0.0,34.53,23.02,1298.93,719.47,579.46,406,150,-170,82,0.12,178.38,3.34,139.17
1-22_2nd,normal,15628,15674,3,1329.03,23.16,11.67,10.2,2.24,45.19,21.63,1042.33,525.15,517.18,-414,-136,-234,222,0.24,180.0,0.0,110.35
1-22_2nd,normal,11305,11376,3,2444.8,22.32,16.74,3.16,6.0,36.67,32.31,1562.49,1171.5,390.99,1123,-289,579,103,0.52,178.6,1.4,84.64
1-22_2nd,normal,10855,10892,3,1445.31,21.21,21.98,7.0,1.0,32.65,53.15,763.54,791.44,-27.9,84,-121,247,-87,0.16,179.19,18.21,142.9
1-22_2nd,normal,10420,10505,3,2818.23,12.74,25.9,1.0,3.61,42.54,58.05,1069.76,2175.27,-1105.51,-582,34,286,-178,0.16,178.19,0.0,125.17
1-22_2nd,normal,10341,10389,3,2519.88,21.58,11.59,1.0,2.24,45.04,23.41,1014.07,544.56,469.51,-53,11,117,132,0.65,180.0,2.14,90.88
1-22_2nd,normal,9644,9689,3,3133.62,16.5,19.97,1.0,7.07,42.3,35.01,726.14,878.58,-152.44,44,24,-519,-52,0.22,178.38,1.81,132.38
